Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Wilson?s Disease,"Liver dysfunction, neurological symptoms, psychiatric symptoms",Copper accumulation in the body,"Liver damage, neurological issues","Copper chelation therapy, supportive care",Dr. Michael Davis,Wilson?s Disease Center,"Hepatologist, Neurologist",50,"San Diego, CA"
Friedreich?s Ataxia,"Difficulty walking, loss of coordination, scoliosis",Genetic disorder affecting the nervous system,Motor and coordination issues,"Supportive care, physical therapy",Dr. Emily Clark,Ataxia Care Center,Neurologist,47,"New York, NY"
Spinocerebellar Ataxia,"Difficulty with coordination, speech problems, tremors",Genetic disorders affecting the cerebellum,Motor coordination issues,"Supportive care, physical therapy",Dr. Michael Harris,Neurology Clinic,Neurologist,49,"San Diego, CA"
Charcot-Marie-Tooth Disease,"Muscle weakness, loss of sensation, foot deformities",Genetic neuropathy affecting peripheral nerves,"Muscle weakness, sensory loss","Physical therapy, supportive care",Dr. Emily Johnson,Neuropathy Care Center,Neurologist,50,"Boston, MA"
Guillain-Barr‚ Syndrome,"Muscle weakness, tingling, paralysis",Autoimmune attack on peripheral nerves,"Muscle weakness, paralysis","Immunoglobulins, plasma exchange",Dr. Laura White,Neurology Clinic,Neurologist,52,"Houston, TX"
Chronic Fatigue Syndrome,"Persistent fatigue, sleep disturbances, muscle pain","Unknown, possibly viral or immune system issues","Persistent fatigue, impaired function","Cognitive behavioral therapy, lifestyle changes",Dr. Michael Clark,Fatigue Treatment Clinic,Rheumatologist,51,"San Francisco, CA"
Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Unknown, possibly related to stress or genetics","Muscle pain, fatigue","Pain management, lifestyle changes",Dr. Sarah Johnson,Pain Management Clinic,Rheumatologist,50,"Los Angeles, CA"
Lyme Disease,"Fever, headache, fatigue, rash",Tick-borne bacterial infection,"Rash, joint pain, flu-like symptoms","Antibiotics, supportive care",Dr. Michael Lewis,Infectious Disease Clinic,Infectious Disease Specialist,48,"New York, NY"
Rocky Mountain Spotted Fever,"Fever, headache, rash, muscle pain",Tick-borne bacterial infection,"Rash, systemic symptoms","Antibiotics, supportive care",Dr. Emily Harris,Infectious Disease Center,Infectious Disease Specialist,49,"San Diego, CA"
Typhoid Fever,"Fever, abdominal pain, headache, weakness",Bacterial infection (Salmonella Typhi),"Fever, gastrointestinal issues","Antibiotics, supportive care",Dr. Sarah Davis,Tropical Disease Clinic,Infectious Disease Specialist,50,"Houston, TX"
Cholera,"Severe diarrhea, dehydration, abdominal cramps",Bacterial infection (Vibrio cholerae),"Severe dehydration, electrolyte imbalance","Rehydration, antibiotics",Dr. Michael Clark,Infectious Disease Clinic,Infectious Disease Specialist,47,"San Francisco, CA"
Tuberculosis,"Cough, weight loss, night sweats, fever",Bacterial infection (Mycobacterium tuberculosis),"Lung damage, systemic symptoms",Antibiotics (long-term therapy),Dr. Emily Johnson,TB Care Center,Infectious Disease Specialist,49,"Boston, MA"
Asthma,"Wheezing, shortness of breath, coughing",Airway inflammation and constriction,"Breathing difficulties, chest tightness","Inhalers, corticosteroids, lifestyle changes",Dr. Michael Smith,Asthma Care Clinic,Pulmonologist,51,"Chicago, IL"
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath, wheezing","Long-term exposure to irritants (e.g., smoking)","Reduced lung function, breathing difficulties","Bronchodilators, corticosteroids, oxygen therapy",Dr. Emily Brown,COPD Care Center,Pulmonologist,48,"Los Angeles, CA"
Lung Cancer,"Persistent cough, chest pain, weight loss, shortness of breath",Malignant tumor in the lungs,"Breathing difficulties, weight loss","Surgery, chemotherapy, radiation therapy",Dr. Sarah Lewis,Oncology Clinic,Oncologist,49,"San Diego, CA"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, cough",Blood clot in the lungs,"Breathing difficulties, chest pain","Anticoagulants, thrombolytics",Dr. Michael Davis,Pulmonary Clinic,Pulmonologist,50,"Houston, TX"
Pneumonia,"Cough, fever, difficulty breathing, chest pain",Infection in the lungs,"Breathing difficulties, chest pain","Antibiotics, supportive care",Dr. Laura White,Pneumonia Care Center,Pulmonologist,47,"San Francisco, CA"
Bronchitis,"Cough, mucus production, wheezing",Inflammation of the bronchial tubes,"Cough, mucus production","Bronchodilators, corticosteroids",Dr. Michael Johnson,Respiratory Clinic,Pulmonologist,52,"Houston, TX"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Repeated episodes of interrupted breathing during sleep,"Daytime sleepiness, poor sleep quality","CPAP therapy, lifestyle changes",Dr. Emily Clark,Sleep Disorders Clinic,Sleep Specialist,49,"San Diego, CA"
Insomnia,"Difficulty falling asleep, staying asleep, early morning awakening",Problems with sleep initiation or maintenance,"Daytime fatigue, impaired functioning","Cognitive behavioral therapy, sleep aids",Dr. Michael Harris,Sleep Clinic,Sleep Specialist,48,"Los Angeles, CA"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks, hallucinations",Neurological disorder affecting sleep-wake regulation,"Excessive daytime sleepiness, impaired alertness","Stimulants, medications for sleep regulation",Dr. Emily Davis,Narcolepsy Care Center,Sleep Specialist,50,"San Francisco, CA"
Restless Legs Syndrome,"Uncomfortable sensations in legs, urge to move legs",Neurological condition affecting the legs,"Discomfort, sleep disturbances","Medications, lifestyle changes",Dr. Michael White,Restless Legs Clinic,Sleep Specialist,47,"Boston, MA"
Multiple Sclerosis,"Muscle weakness, vision problems, balance issues",Autoimmune disorder affecting the central nervous system,"Muscle weakness, vision problems","Disease-modifying therapies, supportive care",Dr. Emily Johnson,MS Care Center,Neurologist,50,"San Diego, CA"
Parkinson?s Disease,"Tremors, stiffness, bradykinesia, postural instability",Neurodegenerative disorder affecting movement control,"Motor symptoms, balance issues","Levodopa, supportive therapies",Dr. Michael Davis,Parkinson?s Care Clinic,Neurologist,49,"Boston, MA"
Alzheimer?s Disease,"Memory loss, cognitive decline, confusion",Neurodegenerative disorder affecting memory and cognition,"Memory loss, cognitive decline","Cognitive enhancers, supportive care",Dr. Sarah White,Alzheimer?s Care Center,Neurologist,50,"Houston, TX"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric symptoms",Genetic disorder affecting brain cells,"Motor symptoms, cognitive decline","Supportive care, medication for symptoms",Dr. Michael Harris,Neurology and Genetics Clinic,Neurologist,51,"San Diego, CA"
Wilson?s Disease,"Liver dysfunction, neurological symptoms, psychiatric symptoms",Copper accumulation in the body,"Liver damage, neurological issues","Copper chelation therapy, supportive care",Dr. Emily Clark,Wilson?s Disease Center,"Hepatologist, Neurologist",49,"Los Angeles, CA"
Friedreich?s Ataxia,"Difficulty walking, loss of coordination, scoliosis",Genetic disorder affecting the nervous system,Motor and coordination issues,"Supportive care, physical therapy",Dr. Michael Davis,Ataxia Care Center,Neurologist,50,"Houston, TX"
Spinocerebellar Ataxia,"Difficulty with coordination, speech problems, tremors",Genetic disorders affecting the cerebellum,Motor coordination issues,"Supportive care, physical therapy",Dr. Sarah Johnson,Neurology Clinic,Neurologist,52,"San Diego, CA"
Charcot-Marie-Tooth Disease,"Muscle weakness, loss of sensation, foot deformities",Genetic neuropathy affecting peripheral nerves,"Muscle weakness, sensory loss","Physical therapy, supportive care",Dr. Michael Harris,Neuropathy Care Center,Neurologist,50,"Boston, MA"
Guillain-Barr‚ Syndrome,"Muscle weakness, tingling, paralysis",Autoimmune attack on peripheral nerves,"Muscle weakness, paralysis","Immunoglobulins, plasma exchange",Dr. Emily Davis,Neurology Clinic,Neurologist,49,"San Francisco, CA"
Chronic Fatigue Syndrome,"Persistent fatigue, sleep disturbances, muscle pain","Unknown, possibly viral or immune system issues","Persistent fatigue, impaired function","Cognitive behavioral therapy, lifestyle changes",Dr. Michael Harris,Fatigue Treatment Clinic,Rheumatologist,49,"Los Angeles, CA"
Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Unknown, possibly related to stress or genetics","Muscle pain, fatigue","Pain management, lifestyle changes",Dr. Emily White,Pain Management Clinic,Rheumatologist,50,"San Diego, CA"
Lyme Disease,"Fever, headache, fatigue, rash",Tick-borne bacterial infection,"Rash, joint pain, flu-like symptoms","Antibiotics, supportive care",Dr. Sarah Davis,Infectious Disease Clinic,Infectious Disease Specialist,48,"Boston, MA"
Rocky Mountain Spotted Fever,"Fever, headache, rash, muscle pain",Tick-borne bacterial infection,"Rash, systemic symptoms","Antibiotics, supportive care",Dr. Michael White,Infectious Disease Center,Infectious Disease Specialist,51,"San Francisco, CA"
Typhoid Fever,"Fever, abdominal pain, headache, weakness",Bacterial infection (Salmonella Typhi),"Fever, gastrointestinal issues","Antibiotics, supportive care",Dr. Emily Clark,Tropical Disease Clinic,Infectious Disease Specialist,49,"San Diego, CA"
Cholera,"Severe diarrhea, dehydration, abdominal cramps",Bacterial infection (Vibrio cholerae),"Severe dehydration, electrolyte imbalance","Rehydration, antibiotics",Dr. Michael Harris,Infectious Disease Clinic,Infectious Disease Specialist,50,"Houston, TX"
Measles,"High fever, rash, cough, runny nose",Measles virus,"Rash, respiratory issues, complications","Vaccination, supportive care",Dr. Anil Sharma,Fortis Hospital,Pediatric Infectious Disease,50,"Mumbai, Maharashtra"
Mumps,"Swelling of salivary glands, fever, headache",Mumps virus,"Swollen glands, possible complications","Vaccination, supportive care",Dr. Rina Patel,Max Healthcare,Pediatric Infectious Disease,47,"Delhi, Delhi"
Rubella (German Measles),"Rash, fever, swollen lymph nodes",Rubella virus,"Rash, joint pain, complications in pregnancy","Vaccination, supportive care",Dr. Mohan Rao,Apollo Hospitals,Pediatric Infectious Disease,52,"Hyderabad, Telangana"
Chickenpox,"Itchy rash, fever, fatigue, blisters",Varicella zoster virus,"Itchy rash, risk of complications","Antiviral medications (for severe cases), supportive care",Dr. Ananya Rao,Narayana Health,Pediatric Infectious Disease,45,"Bangalore, Karnataka"
Shingles,"Painful rash, itching, blisters, fever",Reactivation of varicella zoster virus,"Pain, rash, nerve damage","Antiviral medications (Acyclovir, Valacyclovir), pain management",Dr. Sunil Gupta,KIMS Hospital,Dermatologist,48,"Delhi, Delhi"
Cold Sores (Herpes Simplex),"Painful blisters, itching, tingling",Herpes simplex virus,"Pain, discomfort, recurrent outbreaks","Antiviral medications (Acyclovir, Valacyclovir)",Dr. Priya Kumar,Medanta - The Medicity,Dermatologist,49,"Gurgaon, Haryana"
"Hand, Foot, and Mouth Disease","Fever, rash, sores in mouth, rash on hands and feet",Enteroviruses,"Fever, rash, sores","Supportive care, pain management",Dr. Ravi Patel,AIIMS Delhi,Pediatric Infectious Disease,46,New Delhi
Reye?s Syndrome,"Vomiting, confusion, seizures, liver damage",Association with aspirin use in children with viral infections,"Liver failure, brain damage","Supportive care, treatment of symptoms",Dr. Nidhi Verma,Sir Ganga Ram Hospital,Pediatric Neurologist,47,"Pune, Maharashtra"
Infectious Mononucleosis,"Fever, sore throat, swollen lymph nodes, fatigue",Epstein-Barr virus (EBV),"Fatigue, sore throat, swollen lymph nodes","Rest, supportive care",Dr. Suresh Kumar,Ruby Hall Clinic,Infectious Disease Specialist,50,"Hyderabad, Telangana"
Meniere?s Disease,"Vertigo, hearing loss, tinnitus, ear fullness",Inner ear fluid buildup,"Hearing loss, balance issues","Diuretics, anti-nausea drugs, lifestyle changes",Dr. Anil Gupta,Fortis Hospital,Otolaryngologist,51,"Mumbai, Maharashtra"
Bursitis,"Joint pain, swelling, tenderness",Inflammation of bursae (fluid-filled sacs),Pain and reduced joint mobility,"Rest, ice, NSAIDs, corticosteroid injections",Dr. Rina Sharma,Apollo Hospitals,Orthopedic Surgeon,48,"Delhi, Delhi"
Tendinitis,"Pain, swelling, tenderness in tendons",Overuse or injury to tendons,"Pain, reduced mobility","Rest, ice, NSAIDs, physical therapy",Dr. Ananya Patel,Max Healthcare,Orthopedic Surgeon,49,"Bangalore, Karnataka"
Tennis Elbow,"Pain on the outer elbow, weakness in the arm",Overuse of forearm muscles,"Pain, reduced arm function","Rest, physical therapy, corticosteroid injections",Dr. Rajesh Nair,Narayana Health,Orthopedic Surgeon,47,"Hyderabad, Telangana"
Carpal Tunnel Syndrome,"Numbness, tingling, pain in the hand/wrist",Compression of median nerve,"Hand weakness, pain, reduced grip strength","Wrist splints, corticosteroid injections, surgery",Dr. Sunil Kapoor,KIMS Hospital,Orthopedic Surgeon,50,"Gurgaon, Haryana"
Plantar Fasciitis,"Heel pain, arch pain, stiffness in the morning",Inflammation of the plantar fascia,"Pain, difficulty walking","Stretching exercises, orthotics, NSAIDs",Dr. Priya Gupta,Medanta - The Medicity,Podiatrist,46,"Delhi, Delhi"
Achilles Tendinitis,"Pain and swelling in the heel, stiffness",Overuse or injury to Achilles tendon,"Pain, difficulty walking or running","Rest, ice, physical therapy, corticosteroid injections",Dr. Nidhi Sharma,Fortis Hospital,Podiatrist,48,"Mumbai, Maharashtra"
Gastritis,"Abdominal pain, nausea, vomiting, loss of appetite",Inflammation of the stomach lining,"Digestive issues, discomfort","Antacids, antibiotics (for H. pylori), proton pump inhibitors",Dr. Anil Verma,Apollo Hospitals,Gastroenterologist,49,"Bangalore, Karnataka"
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","H. pylori infection, NSAID use","Abdominal pain, bleeding, perforation","Proton pump inhibitors, antibiotics, antacids",Dr. Rina Kumar,Max Healthcare,Gastroenterologist,50,"Hyderabad, Telangana"
Crohn?s Disease,"Abdominal pain, diarrhea, weight loss, fatigue",Inflammation of the digestive tract,"Intestinal blockages, malnutrition","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Priya Rao,Narayana Health,Gastroenterologist,51,New Delhi
Ulcerative Colitis,"Abdominal pain, diarrhea with blood, weight loss",Inflammation of the colon,"Increased risk of colon cancer, anemia","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Anil Patel,KIMS Hospital,Gastroenterologist,48,"Gurgaon, Haryana"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Functional gastrointestinal disorder,"Discomfort, altered bowel habits","Fiber supplements, antispasmodics, dietary changes",Dr. Rajesh Gupta,AIIMS Delhi,Gastroenterologist,49,"Mumbai, Maharashtra"
Diverticulosis,Often asymptomatic; can lead to diverticulitis,Presence of diverticula in the colon,Can lead to diverticulitis,"High-fiber diet, pain management",Dr. Suresh Kumar,Fortis Hospital,Gastroenterologist,50,"Hyderabad, Telangana"
Gallstones,"Abdominal pain, nausea, vomiting, jaundice",Solid particles in the gallbladder,"Pain, digestive issues, potential for infection","Surgery (cholecystectomy), medications to dissolve stones",Dr. Ananya Sharma,Apollo Hospitals,General Surgeon,48,"Delhi, Delhi"
Cholecystitis,"Severe abdominal pain, fever, nausea, vomiting",Inflammation of the gallbladder,"Infection, digestive issues","Antibiotics, surgery (cholecystectomy)",Dr. Priya Patel,Max Healthcare,General Surgeon,49,"Mumbai, Maharashtra"
Pancreatitis,"Severe abdominal pain, nausea, vomiting, fever",Inflammation of the pancreas,"Digestive issues, potential for organ failure","Pain management, supportive care, treating underlying causes",Dr. Rajesh Sharma,Narayana Health,Gastroenterologist,50,"Bangalore, Karnataka"
Appendicitis,"Abdominal pain, nausea, vomiting, fever",Inflammation of the appendix,"Risk of rupture, infection","Surgery (appendectomy), antibiotics",Dr. Rina Kapoor,KIMS Hospital,General Surgeon,51,"Gurgaon, Haryana"
Celiac Disease,"Diarrhea, bloating, gas, weight loss",Autoimmune response to gluten,"Malabsorption, nutritional deficiencies","Gluten-free diet, nutritional supplements",Dr. Sunil Patel,AIIMS Delhi,Gastroenterologist,47,"Delhi, Delhi"
Rheumatic Fever,"Fever, joint pain, heart inflammation, rash",Post-streptococcal infection,"Heart valve damage, joint issues","Antibiotics, anti-inflammatory drugs",Dr. Nidhi Sharma,Ruby Hall Clinic,Pediatric Rheumatologist,46,"Pune, Maharashtra"
Scarlet Fever,"Sore throat, fever, rash, red tongue",Streptococcal infection,"Rash, fever, risk of complications","Antibiotics, supportive care",Dr. Anil Gupta,Medanta - The Medicity,Pediatric Infectious Disease,49,"Delhi, Delhi"
Whooping Cough,"Severe cough with a ?whooping? sound, difficulty breathing",Bordetella pertussis infection,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Rajesh Kumar,Fortis Hospital,Pediatric Infectious Disease,50,"Mumbai, Maharashtra"
Tuberculosis (TB),"Coughing up blood, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, spread to other organs","Antibiotics (Isoniazid, Rifampin)",Dr. Priya Sharma,Apollo Hospitals,Pulmonologist,48,"Hyderabad, Telangana"
Pertussis,"Severe cough, runny nose, fever, whooping sound",Bordetella pertussis infection,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Suresh Nair,Narayana Health,Pediatric Infectious Disease,47,"Bangalore, Karnataka"
Tetanus,"Muscle stiffness, lockjaw, difficulty swallowing",Clostridium tetani infection,"Muscle spasms, respiratory problems","Antitoxin, antibiotics, muscle relaxants",Dr. Anil Sharma,KIMS Hospital,Infectious Disease Specialist,51,"Gurgaon, Haryana"
Diphtheria,"Sore throat, fever, difficulty breathing, gray membrane in throat",Corynebacterium diphtheriae infection,"Respiratory obstruction, heart problems","Antibiotics, diphtheria antitoxin",Dr. Priya Patel,AIIMS Delhi,Infectious Disease Specialist,46,"Delhi, Delhi"
Measles,"High fever, rash, cough, runny nose",Measles virus,"Rash, respiratory issues, complications","Vaccination, supportive care",Dr. Rajesh Kumar,Fortis Hospital,Pediatric Infectious Disease,50,"Mumbai, Maharashtra"
Mumps,"Swelling of salivary glands, fever, headache",Mumps virus,"Swollen glands, possible complications","Vaccination, supportive care",Dr. Priya Sharma,Max Healthcare,Pediatric Infectious Disease,47,"Delhi, Delhi"
Rubella (German Measles),"Rash, fever, swollen lymph nodes",Rubella virus,"Rash, joint pain, complications in pregnancy","Vaccination, supportive care",Dr. Mohan Rao,Apollo Hospitals,Pediatric Infectious Disease,52,"Hyderabad, Telangana"
Chickenpox,"Itchy rash, fever, fatigue, blisters",Varicella zoster virus,"Itchy rash, risk of complications","Antiviral medications (for severe cases), supportive care",Dr. Ananya Rao,Narayana Health,Pediatric Infectious Disease,45,"Bangalore, Karnataka"
Shingles,"Painful rash, itching, blisters, fever",Reactivation of varicella zoster virus,"Pain, rash, nerve damage","Antiviral medications (Acyclovir, Valacyclovir), pain management",Dr. Sunil Gupta,KIMS Hospital,Dermatologist,48,"Delhi, Delhi"
Cold Sores (Herpes Simplex),"Painful blisters, itching, tingling",Herpes simplex virus,"Pain, discomfort, recurrent outbreaks","Antiviral medications (Acyclovir, Valacyclovir)",Dr. Priya Kumar,Medanta - The Medicity,Dermatologist,49,"Gurgaon, Haryana"
"Hand, Foot, and Mouth Disease","Fever, rash, sores in mouth, rash on hands and feet",Enteroviruses,"Fever, rash, sores","Supportive care, pain management",Dr. Ravi Patel,AIIMS Delhi,Pediatric Infectious Disease,46,New Delhi
Reye?s Syndrome,"Vomiting, confusion, seizures, liver damage",Association with aspirin use in children with viral infections,"Liver failure, brain damage","Supportive care, treatment of symptoms",Dr. Nidhi Verma,Sir Ganga Ram Hospital,Pediatric Neurologist,47,"Pune, Maharashtra"
Infectious Mononucleosis,"Fever, sore throat, swollen lymph nodes, fatigue",Epstein-Barr virus (EBV),"Fatigue, sore throat, swollen lymph nodes","Rest, supportive care",Dr. Suresh Kumar,Ruby Hall Clinic,Infectious Disease Specialist,50,"Hyderabad, Telangana"
Meniere?s Disease,"Vertigo, hearing loss, tinnitus, ear fullness",Inner ear fluid buildup,"Hearing loss, balance issues","Diuretics, anti-nausea drugs, lifestyle changes",Dr. Anil Gupta,Fortis Hospital,Otolaryngologist,51,"Mumbai, Maharashtra"
Bursitis,"Joint pain, swelling, tenderness",Inflammation of bursae (fluid-filled sacs),Pain and reduced joint mobility,"Rest, ice, NSAIDs, corticosteroid injections",Dr. Rina Sharma,Apollo Hospitals,Orthopedic Surgeon,48,"Delhi, Delhi"
Tendinitis,"Pain, swelling, tenderness in tendons",Overuse or injury to tendons,"Pain, reduced mobility","Rest, ice, NSAIDs, physical therapy",Dr. Ananya Patel,Max Healthcare,Orthopedic Surgeon,49,"Bangalore, Karnataka"
Tennis Elbow,"Pain on the outer elbow, weakness in the arm",Overuse of forearm muscles,"Pain, reduced arm function","Rest, physical therapy, corticosteroid injections",Dr. Rajesh Nair,Narayana Health,Orthopedic Surgeon,47,"Hyderabad, Telangana"
Carpal Tunnel Syndrome,"Numbness, tingling, pain in the hand/wrist",Compression of median nerve,"Hand weakness, pain, reduced grip strength","Wrist splints, corticosteroid injections, surgery",Dr. Sunil Kapoor,KIMS Hospital,Orthopedic Surgeon,50,"Gurgaon, Haryana"
Plantar Fasciitis,"Heel pain, arch pain, stiffness in the morning",Inflammation of the plantar fascia,"Pain, difficulty walking","Stretching exercises, orthotics, NSAIDs",Dr. Priya Gupta,Medanta - The Medicity,Podiatrist,46,"Delhi, Delhi"
Achilles Tendinitis,"Pain and swelling in the heel, stiffness",Overuse or injury to Achilles tendon,"Pain, difficulty walking or running","Rest, ice, physical therapy, corticosteroid injections",Dr. Nidhi Sharma,Fortis Hospital,Podiatrist,48,"Mumbai, Maharashtra"
Gastritis,"Abdominal pain, nausea, vomiting, loss of appetite",Inflammation of the stomach lining,"Digestive issues, discomfort","Antacids, antibiotics (for H. pylori), proton pump inhibitors",Dr. Anil Verma,Apollo Hospitals,Gastroenterologist,49,"Bangalore, Karnataka"
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","H. pylori infection, NSAID use","Abdominal pain, bleeding, perforation","Proton pump inhibitors, antibiotics, antacids",Dr. Rina Kumar,Max Healthcare,Gastroenterologist,50,"Hyderabad, Telangana"
Crohn?s Disease,"Abdominal pain, diarrhea, weight loss, fatigue",Inflammation of the digestive tract,"Intestinal blockages, malnutrition","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Priya Rao,Narayana Health,Gastroenterologist,51,New Delhi
Ulcerative Colitis,"Abdominal pain, diarrhea with blood, weight loss",Inflammation of the colon,"Increased risk of colon cancer, anemia","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Anil Patel,KIMS Hospital,Gastroenterologist,48,"Gurgaon, Haryana"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Functional gastrointestinal disorder,"Discomfort, altered bowel habits","Fiber supplements, antispasmodics, dietary changes",Dr. Rajesh Gupta,AIIMS Delhi,Gastroenterologist,49,"Mumbai, Maharashtra"
Diverticulosis,Often asymptomatic; can lead to diverticulitis,Presence of diverticula in the colon,Can lead to diverticulitis,"High-fiber diet, pain management",Dr. Suresh Kumar,Fortis Hospital,Gastroenterologist,50,"Hyderabad, Telangana"
Gallstones,"Abdominal pain, nausea, vomiting, jaundice",Solid particles in the gallbladder,"Pain, digestive issues, potential for infection","Surgery (cholecystectomy), medications to dissolve stones",Dr. Ananya Sharma,Apollo Hospitals,General Surgeon,48,"Delhi, Delhi"
Cholecystitis,"Severe abdominal pain, fever, nausea, vomiting",Inflammation of the gallbladder,"Infection, digestive issues","Antibiotics, surgery (cholecystectomy)",Dr. Priya Patel,Max Healthcare,General Surgeon,49,"Mumbai, Maharashtra"
Pancreatitis,"Severe abdominal pain, nausea, vomiting, fever",Inflammation of the pancreas,"Digestive issues, potential for organ failure","Pain management, supportive care, treating underlying causes",Dr. Rajesh Sharma,Narayana Health,Gastroenterologist,50,"Bangalore, Karnataka"
Appendicitis,"Abdominal pain, nausea, vomiting, fever",Inflammation of the appendix,"Risk of rupture, infection","Surgery (appendectomy), antibiotics",Dr. Rina Kapoor,KIMS Hospital,General Surgeon,51,"Gurgaon, Haryana"
Celiac Disease,"Diarrhea, bloating, gas, weight loss",Autoimmune response to gluten,"Malabsorption, nutritional deficiencies","Gluten-free diet, nutritional supplements",Dr. Sunil Patel,AIIMS Delhi,Gastroenterologist,47,"Delhi, Delhi"
Rheumatic Fever,"Fever, joint pain, heart inflammation, rash",Post-streptococcal infection,"Heart valve damage, joint issues","Antibiotics, anti-inflammatory drugs",Dr. Nidhi Sharma,Ruby Hall Clinic,Pediatric Rheumatologist,46,"Pune, Maharashtra"
Scarlet Fever,"Sore throat, fever, rash, red tongue",Streptococcal infection,"Rash, fever, risk of complications","Antibiotics, supportive care",Dr. Anil Gupta,Medanta - The Medicity,Pediatric Infectious Disease,49,"Delhi, Delhi"
Whooping Cough,"Severe cough with a ?whooping? sound, difficulty breathing",Bordetella pertussis infection,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Rajesh Kumar,Fortis Hospital,Pediatric Infectious Disease,50,"Mumbai, Maharashtra"
Tuberculosis (TB),"Coughing up blood, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, spread to other organs","Antibiotics (Isoniazid, Rifampin)",Dr. Priya Sharma,Apollo Hospitals,Pulmonologist,48,"Hyderabad, Telangana"
Pertussis,"Severe cough, runny nose, fever, whooping sound",Bordetella pertussis infection,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Suresh Nair,Narayana Health,Pediatric Infectious Disease,47,"Bangalore, Karnataka"
Tetanus,"Muscle stiffness, lockjaw, difficulty swallowing",Clostridium tetani infection,"Muscle spasms, respiratory problems","Antitoxin, antibiotics, muscle relaxants",Dr. Anil Sharma,KIMS Hospital,Infectious Disease Specialist,51,"Gurgaon, Haryana"
Diphtheria,"Sore throat, fever, difficulty breathing, gray membrane in throat",Corynebacterium diphtheriae infection,"Respiratory obstruction, heart problems","Antibiotics, diphtheria antitoxin",Dr. Priya Patel,AIIMS Delhi,Infectious Disease Specialist,46,"Delhi, Delhi"
Measles,"High fever, rash, cough, runny nose",Measles virus,"Rash, respiratory issues, complications","Vaccination, supportive care",Dr. Rajesh Kumar,Fortis Hospital,Pediatric Infectious Disease,50,"Mumbai, Maharashtra"
Mumps,"Swelling of salivary glands, fever, headache",Mumps virus,"Swollen glands, possible complications","Vaccination, supportive care",Dr. Priya Sharma,Max Healthcare,Pediatric Infectious Disease,47,"Delhi, Delhi"
Rubella (German Measles),"Rash, fever, swollen lymph nodes",Rubella virus,"Rash, joint pain, complications in pregnancy","Vaccination, supportive care",Dr. Mohan Rao,Apollo Hospitals,Pediatric Infectious Disease,52,"Hyderabad, Telangana"
Chickenpox,"Itchy rash, fever, fatigue, blisters",Varicella zoster virus,"Itchy rash, risk of complications","Antiviral medications (for severe cases), supportive care",Dr. Ananya Rao,Narayana Health,Pediatric Infectious Disease,45,"Bangalore, Karnataka"
Shingles,"Painful rash, itching, blisters, fever",Reactivation of varicella zoster virus,"Pain, rash, nerve damage","Antiviral medications (Acyclovir, Valacyclovir), pain management",Dr. Sunil Gupta,KIMS Hospital,Dermatologist,48,"Delhi, Delhi"
Cold Sores (Herpes Simplex),"Painful blisters, itching, tingling",Herpes simplex virus,"Pain, discomfort, recurrent outbreaks","Antiviral medications (Acyclovir, Valacyclovir)",Dr. Priya Kumar,Medanta - The Medicity,Dermatologist,49,"Gurgaon, Haryana"
"Hand, Foot, and Mouth Disease","Fever, rash, sores in mouth, rash on hands and feet",Enteroviruses,"Fever, rash, sores","Supportive care, pain management",Dr. Ravi Patel,AIIMS Delhi,Pediatric Infectious Disease,46,New Delhi
Reye?s Syndrome,"Vomiting, confusion, seizures, liver damage",Association with aspirin use in children with viral infections,"Liver failure, brain damage","Supportive care, treatment of symptoms",Dr. Nidhi Verma,Sir Ganga Ram Hospital,Pediatric Neurologist,47,"Pune, Maharashtra"
Infectious Mononucleosis,"Fever, sore throat, swollen lymph nodes, fatigue",Epstein-Barr virus (EBV),"Fatigue, sore throat, swollen lymph nodes","Rest, supportive care",Dr. Suresh Kumar,Ruby Hall Clinic,Infectious Disease Specialist,50,"Hyderabad, Telangana"
